"","id","title","topics"
"1",71155,"Обучение наставников",17
"2",70810,"Формула образования. Школа: ученик, родитель, учитель.",25
"3",70727,"ЕГЭ по русскому: нормальные варианты",25
"4",70710,"Свободное погружение в СУБД",7
"5",70581,"Как набрать и адаптировать команду удаленщиков в отдел продаж",5
"6",70430,"Проектная смена. Экология.",29
"7",70141,"Пайка. Базовые сведенияhttps://stepik.org/teach",30
"8",62473,"Инклюзивное образование в системе СПО",3
"9",53669,"CodeWars",11
"10",70011,"Авиамоделизм. Основы аэродинамики и динамики полета моделей",28
"11",69837,"НКО-удалёнка без боли",17
"12",69691,"Цифровая экономика: как технологии меняют рынок",3
"13",69690,"Кибербезопасность: что нужно знать о новом виде защиты?",22
"14",69682,"Химия ",25
"15",69599,"Шаг к писательскому мастерству. Фанфикшн",21
"16",69499,"Моделирование в Blender 3D v2.8 для начинающих",12
"17",69464,"Информатика дистанционно (6-11 классы)",12
"18",69455,"Мой дом - мой образ жизни.",1
"19",69451,"Алгебра. ОГЭ 2020г 9 класс",19
"20",69344,"Физика (Лицей № 393, г.Санкт-Петербург)",19
"21",69267,"Информатика 6 -11 класс. Беларусь.",25
"22",69218,"Основы работы в трёхмерном редакторе Blender",12
"23",69168,"Анатомия",25
"24",69128,"Основы программирования",30
"25",69105,"Web - программирование. Создаем собственный сайт. ",27
"26",69099,"Le Français: des expressions de préférence (8-9 classe)",16
"27",69057,"Скорочтение и развитие памяти. 1 Ступень.",23
"28",62459,"Этносоциология",24
"29",68935,"Информатика для малышей",14
"30",68902,"Исполнитель Кукарача",14
"31",68842,"ПОВТОРЯЕМ ОБЩУЮ БИОЛОГИЮ",19
"32",68735,"Autodesk Inventor, основы трёхмерного моделирования",10
"33",68712,"Excel для новичков",27
"34",68669,"Статистика и вероятность. 9 класс",19
"35",66837,"The Country Studies of the UK(6 Grade)",11
"36",68651,"Производственная (преддипломная) практика",22
"37",68579,"Информатика и ИКТ в профессиональной деятельности ",3
"38",68471,"ЕГЭ. Физика. Астрономические задания.",25
"39",68160,"Дистанционный курс по геометрии. Подготовка к ОГЭ",18
"40",68091,"English. Speaking",30
"41",68019,"Bioinformatics @ TU Delft",11
"42",67994,"Человек и его здоровье (С.И.Кумичева)",30
"43",67852,"«Кванториум Магадан» ДИСТАНТ",17
"44",67849,"Физическая культура среднее звено",9
"45",67743,"Табличные вычисления на компьютере",23
"46",67706,"Дистанционное обучение 453 школа английский язык",25
"47",66833,"Educational System in the United Kingdom",26
"48",67702,"Навигация, консультирование родителей, воспитывающих детей",17
"49",67632,"Решение задач по теме ""Расчет по уравнению реакции"" 8 класс",18
"50",67571,"Дизайн интерьера ",1
"51",67569,"Технология. Прикладное творчество 6 класс",9
"52",67511,"География ",30
"53",67506,"The United Kingdom. Famous People.",11
"54",67483,"Технология. Проектная деятельность в пятом классе.",3
"55",67475,"ИЛКРК",12
"56",67380,"Русский язык. 10 класс",25
"57",67359,"Обществознание 7 класс",26
"58",67352,"Для 11 классов. Биология.",22
"59",67339,"История 7 класс",25
"60",67337,"Мобильная видеосъемка (Коноваленко Д.М. ГАОУ АО ДО ""РШТ"")",17
"61",67335,"Инструменты звуковой студии. Утямышев В.А. (ГАОУ АО ДО «РШТ»)",17
"62",66828,"Неметаллы",25
"63",67306,"Алгебра 7 класс",8
"64",67252,"Для 6 классов. Биология.",13
"65",67233,"Дистанционное обучение (ГБОУ Школа №1253, математика, 8ю и 9д)",4
"66",67132,"Практикум решения задач по физике 10 класс",19
"67",67107,"Цифровизация образования: цифровые технологии в обучении",14
"68",67028,"Астрономия",30
"69",67013,"Python и нейронные сети",29
"70",66989,"Репродуктивная система ",25
"71",66987,"Для 5 классов. Биология.",30
"72",66823,"Избранные главы математики 10 -11 класс",18
"73",66898,"Курс ""Шахматы"" Кванториум г. Севастополь. Старшие группы. ",7
"74",66861,"Профориентирование 9 класс",25
"75",66859,"The United Kingdom: Cities, Attractions, Festivals.",11
"76",66856,"The country studies of the UK (10-11 grades)",15
"77",66850,"Русский язык (8 класс)",9
"78",66845,"Литература (5 класс)",23
"79",66842,"The UK: geography, countries and capitals. 5th form",12
"80",66840,"Русский язык (5 класс)",25
"81",59467,"Физическая культура, спорт и фитнес",12
"82",66819,"Технология ведения дома. Семейная экономика.",17
"83",66792,"Как добиться успеха, решая задачки на степике",5
"84",66702,"La lengua español. 8-9 grades.",25
"85",66699,"Практикум по программированию ",23
"86",66689,"Маркетинг персонала (для студентов ОмГТУ на карантине)",18
"87",66672,"Для 9 классов. Биология.",30
"88",66667,"История - 9 класс",26
"89",66666,"3D-моделирование в blender",10
"90",66623,"Умножение и деление десятичных дробей",5
"91",66560,"Дистанционный курс по геометрии в 8 классе",19
"92",66472,"Введение в Unity",21
"93",66396,"Промышленный дизайн - вводный модуль",1
"94",66375,"Задачи по программированию из ЕГЭ ",19
"95",65930,"Курс подготовки вожатых",29
"96",66372,"Surface Water Quality: management and modeling",8
"97",66323,"Курс ""Шахматы"" Кванториум г. Севастополь. Младшие группы.",7
"98",66307,"Pharmacology ",18
"99",66200,"Общая и профессиональная культура педагога",12
"100",66195,"Английский язык для медицинских вузов",14
"101",66090,"Пробный курс Школа приложений от Geek Teachers",10
"102",65953,"Bioinformatics Algorithms @UCLA",11
"103",65359,"Эпоха цифрового развития: основы цифровой трансформации",3
"104",65915,"Олимпиада «Цифровое будущее» 2020",17
"105",65866,"Робототехника: Основы программирования на Lego EV3",12
"106",65474,"Менеджмент",3
"107",65434,"Physics. Mechanical principles",11
"108",65389,"Deep Learning (семестр 1, весна 2020): продвинутый поток",27
"109",65388,"Deep Learning (семестр 1, весна 2020): базовый поток",27
"110",62765,"English 8 klass 4ever",17
"111",65227,"Эффективное поведение на рынке труда",25
"112",65215,"Основы предпринимательской деятельности",5
"113",65192,"Документационное обеспечение управления",19
"114",65155,"PROкачай ЭКОлайф 2.0",28
"115",65051,"Правоведение",6
"116",65025,"Древнегреческий язык: Грамматический конструктор",9
"117",64961,"Психология и этика профессиональной деятельности",3
"118",64955,"Организация обслуживания в организациях общественного питания",3
"119",64951,"СОЦИАЛЬНАЯ АДАПТАЦИЯ  И ОСНОВЫ СОЦИАЛЬНО-ПРАВОВЫХ ЗНАНИЙ",6
"120",64915,"Экономика",13
"121",64886,"Дроби легко",25
"122",64843,"Рациональные числа",18
"123",64805,"Основы бережливого производства ",4
"124",64759,"Дистанционная работа со студентами",25
"125",64747,"II Международная межвузовская научно-практическая олимпиада ",29
"126",62383,"PHP для начинающих",21
"127",64598,"Глобальное управление",3
"128",64565,"ОГЭ по биологии: кратко и обо всем (Яковлева А.)",26
"129",64529,"Соточка по математике: задания 13, 15, 17",27
"130",64454,"Быстрый старт в спортивное программирование",29
"131",64331,"Школа волонтёров чтения",9
"132",64261,"Kotlin frontend",21
"133",64206,"Создание MVC фреймворка PHP",21
"134",64167,"Практика C++",16
"135",64164,"Подготовка к ЕГЭ по информатике: Теоретическая часть",18
"136",64153,"Подготовка к ЕГЭ по информатике: Практическая часть",18
"137",64111,"Подготовка к МЦКО по математике 2020 (8 класс)",18
"138",64106,"Метрология, стандартизация и подтверждение соответствия",3
"139",64025,"Веб-доступность в электронном обучении",1
"140",63982,"Что важно знать о лекарствах: обсуждаем по-английски",14
"141",63884,"Грамматика английского языка для медиков и фармацевтов – 2",9
"142",63877,"Теория и практика массовой информации",19
"143",63802,"Психология",24
"144",62345,"Игра змейка на java",21
"145",63700,"Критическое мышление",24
"146",63699,"Конституционное право России: Общая часть",6
"147",63694,"Этикет на все случаи жизни",22
"148",63620,"English and Music.The Best World Hits.",14
"149",63599,"ГЕОГРАФИЯ",30
"150",63510,"Проектирование информационных систем",23
"151",63502,"Интеллектуальные информационные системы",28
"152",63425,"Python для школьников",23
"153",63314,"Астрономия для 10 и 11 класса",30
"154",63306,"Информатика",28
"155",63223,"Программирование на Python. Начало.",12
"156",63215,"ЕГЭ по математике. Геометрия. Задачи 3, 6, 8. Подготовка к 16",18
"157",63205,"Онлайн олимпиада InnoStar Университета Иннополис",21
"158",63181,"STARK ES: Быстрый старт",19
"159",63144,"Школьный учебник русского языка: методический анализ параграфа",25
"160",63108,"Основы проектирования антенных систем ",7
"161",62709,"Основы управления. Курс для новых руководителей",1
"162",63098,"Китайский язык. Уровень 1.",16
"163",63085,"Инди-курс программирования на Python от egoroff_channel",12
"164",63067,"Sinumerik: расширенное программирование",29
"165",63060,"КОМПАС-3D v17, основы трёхмерного моделирования",10
"166",63054,"Интерактивный тренажер по SQL",7
"167",63049,"English for pupils",14
"168",63041,"Основы программирования",23
"169",63033,"Навигатор безопасности активного поколения",14
"170",62938,"CS 110 - Programming and Problem Solving",8
"171",62933,"Объектно-ориентированное программирование",21
"172",62921,"1-й тур Олимпиады-2020 по инженерному 3D-моделированию",10
"173",62871,"Copy of Государство: понятие, признаки, виды",26
"174",62846,"Игрофикация. Введение (весна 2020)",5
"175",62844,"Игрофикация. Основы (весна 2020)",5
"176",62814,"Донской регион: историко-культурные традиции и инновации",25
"177",62798,"Математика 5 класс. Учебник Мерзляк, Полонский",5
"178",62773,"UCSD CSE 11",8
"179",62306,"Задачи вступительных олимпиад физ-мат школ. 8 класс. 2020 г.",19
"180",62303,"Задачи вступительных олимпиад физ-мат школ. 9 класс. 2020 г.",19
"181",62263,"Н. Талеб ""Черный лебедь...""  Изучаем книги библиотеки Сбербанка",13
"182",62208,"Теория вероятностей в решении задач ОГЭ и ЕГЭ",18
"183",62197,"Intro to Programming in Python then Java using Media Computation",16
"184",62107,"Технологии виртуальной и дополненной реальности в образовании",21
"185",62020,"Structural Russian",7
"186",61196,"Информатика_8",23
"187",61971,"Начала программирования. Python",23
"188",61918,"Сказкотерапия по методике Надежды Зейглиш",20
"189",61900,"Flask с нуля",7
"190",61816,"Физическая культура (пластика движения)",12
"191",61795,"Поиск и привлечение инвесторов",20
"192",61774,"программирование школа 9",29
"193",61663,"Экологический контроль и надзор",6
"194",61195,"Информатика_9",23
"195",61626,"Курс программирования на Python 3 (начальный уровень 7-11 класс)",12
"196",61599,"Микроэкономика: базовый курс. Теория фирмы и рынков",4
"197",61595,"Введение в кибербезопасность",22
"198",61485,"Реклама и связи с общественностью в некоммерческой сфере",27
"199",61463,"Как стать продуктивнее?",14
"200",61179,"Основы финансовой грамотности",17
"201",61441,"Идентификация органических веществ",7
"202",61440,"Проектная деятельность на раз, два, три: концепция и применение",23
"203",61281,"Основы теории права",6
"204",61250,"Система государственного и муниципального управления",3
"205",61227,"Правоведение",6
"206",61176,"Электромагнитные явления",26
"207",61084,"""Связь времён в народном искусстве"" 5 класс ИЗО",26
"208",61070,"Системы счисления",28
"209",61022,"Замки мира",4
"210",60973,"«Мой бизнес. Старт»",5
"211",60912,"Еврейская история",24
"212",60900,"АСТРОНОМИЯ",30
"213",60894,"Техническое обслуживание и контроль работоспособности систем ДВС",3
"214",60717,"Основы программирования на языке Pascal",21
"215",59620,"Newton's Laws of Motion (Physics)",11
"216",60676,"Программирование на Pascal 10 класс 45",21
"217",60641,"Психотерапия. Путеводитель для клиентов",7
"218",60624,"Информатика_67",23
"219",60594,"Практический маркетинг: вводный курс",24
"220",60573,"История зарубежной литературы (конец XIX – начало XXI в.)",23
"221",60571,"Russian as a foreign language. For beginners. ",1
"222",60472,"Методология социологического исследования",24
"223",60464,"Всеобщая история и история России ",25
"224",60418,"Логотерапия: представление о человеке",2
"225",60381,"Философия русского космизма",22
"226",60319,"Reading in English: Harry Potter and the Cursed Child (B1-B2)",15
"227",60244,"Зоопсихология",30
"228",60223,"Pascal. Массивы 9 класс 45 школа",21
"229",59602,"Учим биологию",30
"230",60194,"Фальсификация истории Второй мировой войны",7
"231",60188,"Динозавры",19
"232",60100,"Менталист",10
"233",60092,"IP-телефония с нуля",12
"234",60090,"Компетентное лидерство",14
"235",60010,"Principle of thermodynamics and electrostatics (Physics)",29
"236",59972,"Density and Interaction of Bodies (Physics)",11
"237",59905,"Столицы стран мира",12
"238",59778,"Rustlings",16
"239",59769,"Русский язык как иностранный. Продвинутый уровень.",15
"240",59448,"Путешествие по Вселенной. Часть 1. Шкатулка знаний.",30
"241",59424,"Флаги стран мира",12
"242",59379,"Введение в программирование на языке Python 3. (ГЭК)",17
"243",59358,"Программирование на Pascal 8 классы",21
"244",59247,"Секреты хороших текстов",9
"245",59245,"Как построить бизнес в фармацевтике",5
"246",59233,"Информатика. 8 класс",25
"247",58090,"ПДД 2020",26
"248",58081,"Алгоритмы обработки строковых величин",23
"249",59225,"Программирование на Питон 10 класс",27
"250",59177,"Целебные свойства продуктов питания: обсуждаем по-английски",14
"251",59165,"Подготовка к Scratch-олимпиадам",29
"252",59092,"Основы программирования",17
"253",59015,"Как учиться эффективно. Большой курс",17
"254",58991,"""Внеклассное чтение"" на английском языке",14
"255",58965,"Стратегический менеджмент вводный курс",3
"256",58930,"ОНТИ 2020 Беспилотные авиационные системы",5
"257",58872,"Секреты принятия правильных решений в условиях неопределенности",19
"258",58852,"Python для начинающих",1
"259",58831,"Курс молодого инженера",10
"260",58732,"Нейробика",20
"261",58723,"Введение в С++",23
"262",58692,"Информационные системы в экономике. Работа с СУБД MS Access",3
"263",58678,"Введение в сетевые технологии",10
"264",58673,"Лингвострановедение Китая",24
"265",58647,"Менеджмент для менеджеров отелей",5
"266",58226,"Приготовление сложной холодной кулинарной продукции",2
"267",58638,"Основы  программирования на языке Python в примерах и задачах",12
"268",58629,"Курс 12. Программа лояльности",23
"269",58626,"Микроэкономика: базовый курс. Теория спроса и предложения",4
