Feature,Discription
id,ID отзыва
full_name,Имя автора
is_active,Активный пользователь или нет
avatar,ссылка на аватар 
level,Степень
level_title,Название степени 
knowledge,Очки заработанные на платформу
knowledge_rank,Ранг пользователя
reputation,Репутация 
reputation_rank,Ранг репутации 
join_date,Дата регистрации 
social_profiles,Привязанные аккаунты
solved_steps_count,Количество решенных степов 
created_courses_count,Количество созданных курсов 
created_lessons_count,Количество созданных уроков 
issued_certificates_count,Количество полученных сертификатов
followers_count,Количество подписчиков 
