id,title,is_certificate_issued,description,authors,schedule_type,learners_count,quizzes_count,time_to_complete,language,target_audience,is_paid
71155,Обучение наставников,false,"<p>Привет! Мы создаем курс, который познакомит тебя с работой студенческих наставников в вузах. Наша задача - преподнести материал так, чтобы он был интересен и полезен для студентов. В рамках курса будут рассмотрены основные темы, которые необходимо знать для эффективной работы, проведены тесты на проверку знаний и многое другое.</p>
",{195570939},self_paced,94,24,1968,ru,Студенты ЧувГУ,false
70810,"Формула образования. Школа: ученик, родитель, учитель.",false,"<p><strong>Команда курса:</strong></p>

<p><strong>Руководитель:</strong></p>

<p>Шуйкова Инесса Анатольевна - Ректор ГАУДПО ЛО «ИРО»</p>

<p><strong>Творческая группа:</strong></p>

<p>Климова Ирина Викторовна, Мязина Светлана Евгеньевна - кафедра психологии и педагогики ГАУДПО ЛО «ИРО»</p>

<p>Углова Наталья Вячеславовна, Наумова Ирина Юрьевна - кафедра гуманитарного и эстетического образования ГАУДПО ЛО «ИРО»</p>

<p><strong>Техническая поддержка и редакция:</strong></p>

<p>Моргачев Вадим Владиславович - и.о. директора ГОАОУ ""Центр поддержки одаренных детей ""Стратегия""</p>

<p>Ротобыльский Константин Андреевич - заведующий кафедрой информационно-технологического образования ГАУДПО ЛО «ИРО»</p>

<p>Злобин Максим Сергеевич, Шинковская Виктория Сергеевна  - ГОАОУ ""Центр поддержки одаренных детей ""Стратегия""</p>

<p> </p>
","{73886792,220677450}",active,283,75,3406,ru,"",false
70727,ЕГЭ по русскому: нормальные варианты,false,"<p>Нормальные варианты - это, во-первых, демоверсии и доступные варианты реальных ЕГЭ (варианты досрока 2019/2020).<br>
Но их мало - всего 5 вариантов.<br>
<br>
Кроме них, планируется создание ряда вариантов на основе материалов базы заданий ФИПИ.<br>
<br>
Плюсы этих вариантов:<br>
1) наличие пояснений к каждому заданию<br>
2) уровень сложности, сопоставимый с тем, что будет на реальном экзамене<br>
 </p>
",{26533986},active,118,134,4805,ru,Ученики 11-класса,false
70710,Свободное погружение в СУБД,true,"<p> </p>

<p>Курс предназначен для программистов, имеющих некоторый опыт в проектировании реляционных баз данных и в написании приложений, использующих базы данных. Курс позволит расширить знания и сделать базы данных и приложения лучше, эффективнее и надежнее. Будем говорить об очевидных и не очень очевидных неприятностях, которые могут поджидать вашу систему во время её жизни и о том, как эффективнее использовать возможности современных реляционных СУБД.</p>

<p>В курсе затронуты темы:</p>

<ul>
	<li>как улучшать схему базы данных и убедиться, что она достаточно хорошая</li>
	<li>что может в боевом использовании пойти не так с приложением, прекрасно работавшим в тестовом окружении</li>
	<li>как сделать систему устойчивой к изменениям требований</li>
	<li>средства SQL для построения сложных аналитических запросов</li>
	<li>управление конкурентным доступом к данным</li>
	<li>некоторые возможности из нереляционного мира, присутствующие в реляционных СУБД</li>
</ul>

<p><strong>Что необходимо для прохождения курса</strong></p>

<p>Этот курс не для начинающих. Для его успешного прохождения понадобится знание базовых конструкций языка SQL, либо желание познакомиться с ними самостоятельно из сторонних источников. Знакомство с основными конструкциями языка Python тоже будет существенным плюсом.</p>

<p>Из технических средств вам понадобится СУБД. Для многих тем не важно, какую именно СУБД вы будете использовать, но в некоторых уроках будут затрагиваться возможности, специфичные для СУБД PostgreSQL, поэтому рекомендуется использовать именно её.</p>

<p>Кроме СУБД вам понадобится клиент, который умеет с ней общаться, например консольный <code>psql</code> для Постгреса или графический, работающий с любой СУБД, поддерживающей JDBC. Пригодится и текстовый редактор с подсветкой синтаксиса SQL.</p>

<p>В некоторых случаях будет использоваться Питон, поэтому наличие у вас интерпретатора этого языка тоже не будет лишним.</p>

<p><strong>Оценка за курс</strong></p>

<p>Сертификат о прохождении курса выдаётся при успешном наборе более чем 70% баллов за домашние задания. Сертификат с отличием выдаётся за 85% баллов. Как правило, в одном модуле будет три-четыре задания, которые в зависимости от сложности будут приносить один-три балла.</p>

<p><strong>Платформа Stepik.org</strong></p>

<p>Если вы впервые пользуетесь Стэпиком, то обратите внимание на <a href=""https://stepic.org/lesson/%D0%97%D0%BD%D0%B0%D0%BA%D0%BE%D0%BC%D1%81%D1%82%D0%B2%D0%BE-%D1%81%D0%BE-Stepic-13143/step/1"" rel=""nofollow noopener noreferrer"">вводный урок ""Знакомство со Stepik""</a></p>
",{},self_paced,152,64,97447,ru,Программисты приложений БД,false
70581,Как набрать и адаптировать команду удаленщиков в отдел продаж,false,"<p>На курсе вы научитесь искать и адаптировать удаленщиков, поймете как ими управлять, какие задачи ставить и как мотивировать. Курс состоит из 17 видеоуроков, где каждый урок это практическая инструкция к действию. Смотрите видео, делайте так, как говорит наш эксперт и вы гарантированно выведете минимум двух удалёнщиков к концу курса.</p>

<p>Раньше мы уже проводили этот курс. Тогда он был платным и все домашние работы индивидуально проверялись нашими экспертами. Сейчас мы выкладываем курс в свободный доступ, чтобы как можно больше людей смогли научиться запускать эффективные удаленные отделы продаж. К сожалению, в таком формате у нас не получится проверять ваши домашние задания, но вы всегда можете задать вопрос в комментариях под уроком и получить от нас ответ. </p>
",{21498030},self_paced,82,14,16066,ru,"Руководители отделов продаж и колл-центров, владельцы бизнеса",false
70430,Проектная смена. Экология.,false,"<p>Программа ориентирована на систематизацию знании в области экологии для подготовки к ВсОШ по Экологии, а также решение школьниками практических задач с олимпиадным уровнем сложности для ведения профильных проектов.</p>

<p>Необходимо выполнить задания на каждого раздела.</p>

<p>Дистанционный этап представляет собой теоретическую базу для прохождения к проектному этапу смены.</p>

<p>Доступ ко всем материалам курса будет открыт с 4 мая 2020 г.</p>

<p><em>19 мая по указанным в анкетах e-mail будут отправлены свидетельства о прохождении дистанционного курса экологии.</em></p>
",{201806214},self_paced,112,17,10250,ru,"",false
70141,Пайка. Базовые сведенияhttps://stepik.org/teach,false,"<p>Целевая аудитория курса - обучающиеся дополнительного образования и просто заинтересованные радиоэлектроникой люди. Курс состоит из 6 модулей: 1)Введение, основные понятия, Техника безопасности; 2) Подготовка рабочего места, инструменты, материалы, состояние паяльника; 3) Пайка проводного монтажа; 4) Пайка печатных плат; 5) Завершение работы; 6) Заключение, полезная информация. Рассмотрены основные материалы, приёмы работы, дефекты, возникающие при работе.<br>
Курс создан с целью 1) улучшить качество доводимого до обучающихся теоретического материала за счёт высвобождения времени на практическую работу на занятиях 2) минимизации ущерба оборудованию при работе начинающих. Рассматриваются особенности пайки припоем типа ПОС и канифолью. Нюансы пайки бессвинцовыми припоями и жидкими флюсами на данный момент не рассмотрены.<br>
Полученных знаний должно быть достаточно для начала самостоятельной работы.<br>
Курс создаётся в условиях ""аврала"", поэтому содержит ограниченное количество фото- и видеоматериала, что является ощутимым недостатком; предполагается дальнейшая работа над содержанием курса.<br>
 </p>
",{211709260},self_paced,79,36,6683,ru,"Учащиеся старше 12 лет. Лица, интересующиеся электроникой.",false
62473,Инклюзивное образование в системе СПО,false,"<p style=""text-align: justify;"">       Данный онлайн-курс соответствует программе повышения квалификации «Инклюзивное образование в системе СПО».</p>

<p style=""text-align: justify;"">Программа разработана в ГАУ КО ПОО КСТ (г. Калининград) с учетом требований:</p>

<ul>
	<li style=""text-align: justify;"">Федерального закона от 29 декабря 2012 г. № 273-ФЗ «Об образовании в Российской Федерации»; </li>
	<li style=""text-align: justify;"">Приказа Минобрнауки России от 27.10.2014 № 1386 «Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по специальности 44.02.06 Профессиональное обучение (по отраслям)» (Зарегистрировано в Минюсте России 28.11.2014 № 34994);</li>
	<li style=""text-align: justify;"">Приказа  Минобрнауки России от 1 июля 2013 г. № 499 «Об утверждении Порядка организации и осуществления образовательной деятельности по дополнительным профессиональным программам» (зарегистрирован Минюстом России 20 августа 2013 г., регистрационный № 29444);</li>
	<li style=""text-align: justify;"">Профессионального стандарта «Педагог профессионального обучения, профессионального образования и дополнительного профессионального образования» (утвержден приказом Министерства труда и социальной защиты Российской Федерации от «08» сентября 2015 г. N 608н);</li>
	<li style=""text-align: justify;"">Порядка применения организациями, осуществляющими образовательную деятельность, электронного обучения, дистанционных образовательных технологий при реализации образовательных программ (Утвержден приказом Минобрнауки России от 23.08.2017 N 816).</li>
</ul>

<p><strong>Цель и задачи освоения курса</strong></p>

<p style=""text-align: justify;"">Цель курса - формирование профессиональных компетенций педагогов в рамках организации инклюзивного образования обучающихся с ограниченными возможностями здоровья и обучаюихся-инвалидов в условиях ФГОС СПО.</p>

<p style=""text-align: justify;"">В результате освоения курса слушатель должен <strong>знать</strong>:</p>

<ul>
	<li style=""text-align: justify;"">нормативно-правовую базу организации обучения инвалидов и лиц с ОВЗ в системе СПО;</li>
	<li style=""text-align: justify;"">состояние и проблемы образования инвалидов и лиц с ОВЗ;</li>
	<li style=""text-align: justify;"">подходы к выработке и принятию решения по личностно-ориентированному обучению с учетом способностей и возможностей инвалидов и лиц с ОВЗ.</li>
</ul>

<p style=""text-align: justify;"">Слушатель должен <strong>уметь</strong>:</p>

<ul>
	<li style=""text-align: justify;"">применять нормативно-правовые акты в процессе проектирования и реализации адаптированных образовательных программ СПО;</li>
	<li style=""text-align: justify;"">оценивать материально-техническое обеспечения образовательной организации при реализации адаптированных образовательных программ СПО;</li>
	<li style=""text-align: justify;"">разрабатывать адаптированную образовательную программу в соответствии с типом нарушения обучающихся и требованиями ФГОС;</li>
	<li style=""text-align: justify;"">разрабатывать учебно-методический комплекс к адаптированной образовательной программе СПО.</li>
</ul>

<p style=""text-align: justify;"">Слушатель должен овладеть <strong>навыками:</strong></p>

<ul>
	<li style=""text-align: justify;"">применения нормативно-правовых аспектов профессионального образования обучающихся-инвалидов и лиц с ОВЗ;</li>
	<li style=""text-align: justify;"">владения теоретико-практическими и методическими знаниями в вопросах комплексного сопровождения образовательного процесса для обучающихся-инвалидов и лиц с ОВЗ;</li>
	<li style=""text-align: justify;"">способность использовать современные способы и методы образовательного процесса для обучающихся-инвалидов и лиц с ОВЗ;</li>
	<li style=""text-align: justify;"">разработки и применения на практике адаптированных  образовательных программ СПО.</li>
</ul>

<p style=""text-align: justify;"">Слушатель должен обладать следующими <strong>профессиональными компетенциями</strong>:</p>

<ul>
	<li style=""text-align: justify;"">способность организовывать эффективный образовательный процесс в соответствии с нормативно-правовой базой,</li>
	<li style=""text-align: justify;"">способность планировать и организовывать свою деятельность в области организации учебного  процесса для обучающихся инвалидов и лиц ОВЗ в профессиональных образовательных организациях;</li>
	<li>способность владения современными информационными технологиями для обучения лиц с ОВЗ и инвалидов.</li>
</ul>

<p> </p>
","{69383026,160338180}",self_paced,91,52,7392,ru,Педагогические  работники профессиональных образовательных организаций,false
70011,Авиамоделизм. Основы аэродинамики и динамики полета моделей,false,"<p>Дистанционный курс обучения «Авиамоделизм. Основы аэродинамики и динамики полета моделей» является дополнением к образовательным программам отдела техники ГБНОУ ""СПБ ГДТЮ"": «Введение  в авиамоделизм. Простейшие летающие модели», «Кордовые пилотажные модели самолетов», «Спортивный авиамоделизм. Кордовые модели», «Радиоуправляемые модели. Беспилотные летательные аппараты»</p>

<p>Курс предназначен не только учащимся авиамодельных лабораторий учреждений дополнительного образования детей, но и тем, кто самостоятельно интересуется авиамоделизмом, и желает  разобраться с многообразием моделей, а также получить знания, необходимые для проектирования и изготовления летающих моделей.</p>
",{60320774},active,77,47,5355,ru,"Школьники, студенты, авиамоделисты всех возрастов, преподаватели авиамодельных лабораторий",false
69837,НКО-удалёнка без боли,false,"<p><em>Официальное название курса: <strong>Удаленная работа НКО: эффективные решения.</strong></em></p>

<p>Дорогие коллеги, наверняка за последние пару недель словосочетание «удаленная работа» стало всем вам буквально до боли знакомым.</p>

<p>Да, практически всем нам пришлось покинуть свои офисы и перестать видеться с коллегами. Тем не менее реальность такова, что работу НКО не остановить: многие проекты требуют перестройки в связи с режимом самоизоляции, а значит – срочных обсуждений с командой и партнерами онлайн; бухгалтерию надо продолжать вести, а сотрудники хотят сохранить зарплату и пытаются настроить жизнь и работу из дома, но часто нуждаются в помощи со стороны директора.</p>

<p>Может быть, вам пришлось в связи с эпидемией перейти на удаленку насильственно, а может часть организации уже работала онлайн и теперь «подтягиваются» оставшиеся люди и процессы – и не все еще работает. Да, сейчас нам часто бывает непросто.</p>

<p>Как сделать, чтобы ваша НКО эффективно заработала в удаленном режиме? Приглашаем вас обсудить это на <strong>интерактивном онлайн-курсе ""НКО-УДАЛЕНКА БЕЗ БОЛИ""</strong><strong>,</strong> который проводит <strong>с 21 апреля по 4 мая</strong> благотворительный фонд «Добрый город Петербург», один из резидентов проекта «Кухня НКО».</p>

<p><strong>На курсе вы поймете, как (и сразу начнете):</strong></p>

<ul>
	<li>качественно и с минимальными затратами <strong>(до)перевести на удаленную работу свою команду и процессы</strong> – чтобы все работало, тратился минимум ресурсов и все это не так сильно раздражало;</li>
	<li>эффективно готовить, проводить <strong>рабочие онлайн-встречи</strong> и участвовать в них.</li>
</ul>

<p>Зовем директоров и сотрудников НКО. Приходите всей командой!</p>

<p>На курсе – <strong>только проверенные нами лично инструменты и решения без «воды» и теоретических рассуждений</strong>. И «горячий» опыт коллег-участников курса со всей России – делимся в режиме реального времени.</p>

<p>Курс создан на грант программы «Эффективная филантропия» Благотворительного фонда Владимира Потанина.<br>
<img alt="""" src=""https://ucarecdn.com/9689aea6-0bba-4798-8eee-2605c76822d2/-/crop/391x118/30,20/-/preview/""></p>
",{28878375},active,593,17,15887,ru,Зовем директоров и сотрудников НКО. Приходите всей командой!,false
