"","id","clust"
"1",71155,2
"2",70810,2
"3",70727,1
"4",70710,2
"5",70581,2
"6",70430,2
"7",70141,2
"8",62473,2
"9",70011,2
"10",69837,2
"11",69691,2
"12",69690,2
"13",69682,2
"14",69599,2
"15",69499,2
"16",69464,2
"17",69455,2
"18",69451,1
"19",69344,2
"20",69267,2
"21",69218,2
"22",69168,2
"23",69128,2
"24",69105,2
"25",69099,2
"26",69057,2
"27",62459,2
"28",68935,2
"29",68902,2
"30",68842,2
"31",68735,2
"32",68712,2
"33",68669,2
"34",68651,2
"35",68579,2
"36",68471,2
"37",68160,1
"38",67994,2
"39",67852,1
"40",67849,2
"41",67743,2
"42",67706,1
"43",67702,2
"44",67632,2
"45",67571,2
"46",67569,2
"47",67511,2
"48",67506,1
"49",67483,2
"50",67475,2
"51",67380,2
"52",67359,2
"53",67352,2
"54",67339,2
"55",67337,2
"56",67335,2
"57",66828,2
"58",67306,2
"59",67252,2
"60",67233,3
"61",67132,1
"62",67107,2
"63",67028,2
"64",67013,2
"65",66989,2
"66",66987,2
"67",66823,1
"68",66898,2
"69",66861,2
"70",66856,1
"71",66850,2
"72",66845,2
"73",66840,2
"74",59467,2
"75",66819,2
"76",66792,1
"77",66699,1
"78",66689,2
"79",66672,2
"80",66667,2
"81",66666,2
"82",66623,1
"83",66560,2
"84",66472,2
"85",66396,2
"86",66375,2
"87",65930,2
"88",66323,2
"89",66200,2
"90",66195,3
"91",66090,2
"92",65359,1
"93",65915,2
"94",65866,2
"95",65474,2
"96",65389,2
"97",65388,2
"98",65227,2
"99",65215,2
"100",65192,2
"101",65155,2
"102",65051,4
"103",65025,1
"104",64961,1
"105",64955,1
"106",64951,2
"107",64915,1
"108",64886,2
"109",64843,2
"110",64805,2
"111",64759,2
"112",64747,2
"113",62383,2
"114",64598,4
"115",64565,1
"116",64529,3
"117",64454,2
"118",64331,1
"119",64261,2
"120",64206,2
"121",64167,2
"122",64164,1
"123",64153,2
"124",64111,1
"125",64106,1
"126",64025,2
"127",63982,3
"128",63884,1
"129",63877,2
"130",63802,1
"131",62345,2
"132",63700,2
"133",63699,1
"134",63694,1
"135",63620,2
"136",63599,1
"137",63510,2
"138",63502,1
"139",63425,2
"140",63314,2
"141",63306,2
"142",63223,2
"143",63215,1
"144",63205,1
"145",63181,2
"146",63144,2
"147",63108,2
"148",62709,2
"149",63098,3
"150",63085,2
"151",63067,1
"152",63060,2
"153",63054,2
"154",63049,1
"155",63041,2
"156",63033,2
"157",62933,1
"158",62921,2
"159",62871,2
"160",62846,2
"161",62844,2
"162",62814,2
"163",62798,1
"164",62306,1
"165",62303,1
"166",62263,2
"167",62208,2
"168",62107,2
"169",61196,1
"170",61971,1
"171",61918,2
"172",61900,1
"173",61816,2
"174",61795,2
"175",61774,2
"176",61663,2
"177",61195,1
"178",61626,2
"179",61599,2
"180",61595,2
"181",61485,2
"182",61463,2
"183",61179,1
"184",61441,2
"185",61440,2
"186",61281,1
"187",61250,4
"188",61227,3
"189",61176,1
"190",61084,2
"191",61070,1
"192",61022,1
"193",60973,2
"194",60912,1
"195",60900,1
"196",60894,2
"197",60717,2
"198",60676,2
"199",60641,2
"200",60624,4
"201",60594,2
"202",60573,1
"203",60571,1
"204",60472,2
"205",60464,2
"206",60418,2
"207",60381,2
"208",60244,1
"209",60223,2
"210",59602,2
"211",60194,2
"212",60188,1
"213",60100,1
"214",60092,2
"215",60090,2
"216",59972,1
"217",59905,1
"218",59769,3
"219",59448,2
"220",59424,1
"221",59379,1
"222",59358,2
"223",59247,2
"224",59245,2
"225",59233,2
"226",58090,4
"227",58081,2
"228",59225,2
"229",59177,1
"230",59165,2
"231",59092,2
"232",59015,2
"233",58965,1
"234",58930,2
"235",58872,2
"236",58852,1
"237",58831,2
"238",58732,2
"239",58723,2
"240",58692,1
"241",58678,2
"242",58673,1
"243",58647,1
"244",58226,1
"245",58638,2
"246",58629,2
"247",58626,2
"248",58606,2
"249",58532,2
"250",58514,2
"251",58153,2
"252",58487,3
"253",58474,2
"254",58463,2
"255",58455,2
"256",58454,2
"257",58369,2
"258",58092,2
"259",58005,2
"260",57999,2
"261",57978,3
"262",57974,2
"263",57948,2
"264",57895,2
"265",57862,2
"266",57841,1
"267",57839,2
"268",57742,3
"269",57721,2
"270",57716,2
"271",57680,2
"272",57669,1
"273",57654,2
"274",57623,1
"275",57593,3
"276",57570,2
"277",57556,2
"278",57551,2
"279",57542,2
"280",57534,2
"281",57511,2
"282",57492,2
"283",57257,2
"284",57218,2
"285",57457,2
"286",57447,2
"287",57441,1
